"시도별(1)","성별및연령별(1)",성별및연령별(2),2018,2018,2018,2018,2018,2018
"시도별(1)","성별및연령별(1)",성별및연령별(2),착용,착용,미착용,미착용,미상,미상
"시도별(1)","성별및연령별(1)",성별및연령별(2),건수 (건),분율 (%),건수 (건),분율 (%),건수 (건),분율 (%)
"세종","연령별",40~49세,-,-,-,-,-,-
"세종","연령별",50~59세,-,-,-,-,-,-
"세종","연령별",60~69세,-,-,-,-,-,-
"세종","연령별",70~79세,-,-,-,-,-,-
"세종","연령별",80세 이상,-,-,-,-,-,-
"경기","전체",소계,28,16.6,85,50.3,56,33.1
"경기","성별",남자,25,17.0,76,51.7,46,31.3
"경기","성별",여자,-,-,-,-,10,45.5
"경기","연령별",0~9세,-,-,-,-,-,-
"경기","연령별",10~19세,-,-,15,83.3,-,-
"경기","연령별",20~29세,-,-,-,-,-,-
"경기","연령별",30~39세,-,-,-,-,-,-
"경기","연령별",40~49세,-,-,-,-,-,-
"경기","연령별",50~59세,-,-,18,54.5,11,33.3
"경기","연령별",60~69세,-,-,13,41.9,11,35.5
"경기","연령별",70~79세,-,-,19,61.3,10,32.3
"경기","연령별",80세 이상,-,-,-,-,-,-
"강원","전체",소계,11,26.2,21,50.0,10,23.8
"강원","성별",남자,11,28.2,19,48.7,-,-
"강원","성별",여자,-,-,-,-,-,-
"강원","연령별",0~9세,-,-,-,-,-,-
"강원","연령별",10~19세,-,-,-,-,-,-
"강원","연령별",20~29세,-,-,-,-,-,-
"강원","연령별",30~39세,-,-,-,-,-,-
"강원","연령별",40~49세,-,-,-,-,-,-
"강원","연령별",50~59세,-,-,-,-,-,-
"강원","연령별",60~69세,-,-,-,-,-,-
"강원","연령별",70~79세,-,-,-,-,-,-
"강원","연령별",80세 이상,-,-,-,-,-,-
"충북","전체",소계,-,-,28,49.1,24,42.1
"충북","성별",남자,-,-,26,51.0,20,39.2
"충북","성별",여자,-,-,-,-,-,-
"충북","연령별",0~9세,-,-,-,-,-,-
"충북","연령별",10~19세,-,-,-,-,-,-
"충북","연령별",20~29세,-,-,-,-,-,-
"충북","연령별",30~39세,-,-,-,-,-,-
"충북","연령별",40~49세,-,-,-,-,-,-
"충북","연령별",50~59세,-,-,-,-,-,-
"충북","연령별",60~69세,-,-,-,-,-,-
"충북","연령별",70~79세,-,-,10,76.9,-,-
"충북","연령별",80세 이상,-,-,-,-,-,-
"충남","전체",소계,-,-,25,73.5,-,-
"충남","성별",남자,-,-,17,70.8,-,-
"충남","성별",여자,-,-,-,-,-,-
"충남","연령별",0~9세,-,-,-,-,-,-
"충남","연령별",10~19세,-,-,-,-,-,-
"충남","연령별",20~29세,-,-,-,-,-,-
"충남","연령별",30~39세,-,-,-,-,-,-
"충남","연령별",40~49세,-,-,-,-,-,-
"충남","연령별",50~59세,-,-,-,-,-,-
"충남","연령별",60~69세,-,-,-,-,-,-
"충남","연령별",70~79세,-,-,10,76.9,-,-
"충남","연령별",80세 이상,-,-,-,-,-,-
"전북","전체",소계,-,-,42,65.6,20,31.3
"전북","성별",남자,-,-,36,67.9,15,28.3
"전북","성별",여자,-,-,-,-,-,-
"전북","연령별",0~9세,-,-,-,-,-,-
"전북","연령별",10~19세,-,-,-,-,-,-
"전북","연령별",20~29세,-,-,-,-,-,-
"전북","연령별",30~39세,-,-,-,-,-,-
"전북","연령별",40~49세,-,-,-,-,-,-
"전북","연령별",50~59세,-,-,-,-,-,-
"전북","연령별",60~69세,-,-,-,-,-,-
"전북","연령별",70~79세,-,-,12,63.2,-,-
"전북","연령별",80세 이상,-,-,-,-,-,-
"전남","전체",소계,-,-,13,50.0,-,-
"전남","성별",남자,-,-,12,50.0,-,-
"전남","성별",여자,-,-,-,-,-,-
"전남","연령별",0~9세,-,-,-,-,-,-
"전남","연령별",10~19세,-,-,-,-,-,-
"전남","연령별",20~29세,-,-,-,-,-,-
"전남","연령별",30~39세,-,-,-,-,-,-
"전남","연령별",40~49세,-,-,-,-,-,-
"전남","연령별",50~59세,-,-,-,-,-,-
"전남","연령별",60~69세,-,-,-,-,-,-
"전남","연령별",70~79세,-,-,-,-,-,-
"전남","연령별",80세 이상,-,-,-,-,-,-
"경북","전체",소계,-,-,43,66.2,18,27.7
"경북","성별",남자,-,-,33,68.8,13,27.1
"경북","성별",여자,-,-,10,58.8,-,-
"경북","연령별",0~9세,-,-,-,-,-,-
"경북","연령별",10~19세,-,-,-,-,-,-
"경북","연령별",20~29세,-,-,-,-,-,-
"경북","연령별",30~39세,-,-,-,-,-,-
"경북","연령별",40~49세,-,-,-,-,-,-
"경북","연령별",50~59세,-,-,-,-,-,-
"경북","연령별",60~69세,-,-,11,61.1,-,-
"경북","연령별",70~79세,-,-,10,66.7,-,-
"경북","연령별",80세 이상,-,-,-,-,-,-
"경남","전체",소계,-,-,28,59.6,12,25.5
"경남","성별",남자,-,-,19,54.3,10,28.6
"경남","성별",여자,-,-,-,-,-,-
"경남","연령별",0~9세,-,-,-,-,-,-
"경남","연령별",10~19세,-,-,-,-,-,-
"경남","연령별",20~29세,-,-,-,-,-,-
"경남","연령별",30~39세,-,-,-,-,-,-
"경남","연령별",40~49세,-,-,-,-,-,-
"경남","연령별",50~59세,-,-,-,-,-,-
"경남","연령별",60~69세,-,-,-,-,-,-
"경남","연령별",70~79세,-,-,-,-,-,-
"경남","연령별",80세 이상,-,-,-,-,-,-
"제주","전체",소계,-,-,-,-,-,-
"제주","성별",남자,-,-,-,-,-,-
"제주","성별",여자,-,-,-,-,-,-
"제주","연령별",0~9세,-,-,-,-,-,-
"제주","연령별",10~19세,-,-,-,-,-,-
"제주","연령별",20~29세,-,-,-,-,-,-
"제주","연령별",30~39세,-,-,-,-,-,-
"제주","연령별",40~49세,-,-,-,-,-,-
"제주","연령별",50~59세,-,-,-,-,-,-
"제주","연령별",60~69세,-,-,-,-,-,-
"제주","연령별",70~79세,-,-,-,-,-,-
"제주","연령별",80세 이상,-,-,-,-,-,-
